Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,0,Loss,Player 1 - Namshar (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
0,0,Win,Player 2 - Scarlett (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
0,30,Loss,Player 1 - Namshar (Zerg),Z,13,14.0,14.0,50,699,150,1100,0,0,0,0,0,0,0,0
0,30,Win,Player 2 - Scarlett (Zerg),Z,13,14.0,14.0,50,699,150,1100,0,0,0,0,0,0,0,0
0,60,Loss,Player 1 - Namshar (Zerg),Z,16,16.0,22.0,230,783,0,1350,0,0,0,0,0,0,0,0
0,60,Win,Player 2 - Scarlett (Zerg),Z,16,16.0,22.0,240,867,0,1350,0,0,0,0,0,0,0,0
0,90,Loss,Player 1 - Namshar (Zerg),Z,16,18.0,22.0,90,867,450,1350,0,0,0,0,0,0,0,0
0,90,Win,Player 2 - Scarlett (Zerg),Z,16,18.0,22.0,100,923,450,1350,0,0,0,0,0,0,0,0
0,120,Loss,Player 1 - Namshar (Zerg),Z,16,18.0,22.0,95,951,775,1350,0,0,0,0,0,0,0,0
0,120,Win,Player 2 - Scarlett (Zerg),Z,16,18.0,22.0,105,951,775,1350,0,0,0,0,0,0,0,0
0,150,Loss,Player 1 - Namshar (Zerg),Z,19,20.0,22.0,320,979,650,1575,0,0,28,134,0,0,0,0
0,150,Win,Player 2 - Scarlett (Zerg),Z,19,20.0,22.0,320,923,650,1575,0,0,36,156,0,0,0,0
0,180,Loss,Player 1 - Namshar (Zerg),Z,21,26.0,28.0,165,1035,450,2275,0,0,88,156,0,0,0,0
0,180,Win,Player 2 - Scarlett (Zerg),Z,21,26.0,28.0,150,923,450,2275,0,0,96,179,0,0,0,0
0,210,Loss,Player 1 - Namshar (Zerg),Z,24,30.0,36.0,260,1147,400,2525,0,0,20,89,0,0,0,0
0,210,Win,Player 2 - Scarlett (Zerg),Z,24,30.0,36.0,245,1175,400,2525,0,0,44,134,0,0,0,0
0,240,Loss,Player 1 - Namshar (Zerg),Z,26,32.0,36.0,65,1259,650,2925,300,0,22,156,50,0,0,0
0,240,Win,Player 2 - Scarlett (Zerg),Z,27,33.0,36.0,35,1259,600,2975,300,0,84,111,0,0,0,0
0,270,Loss,Player 1 - Namshar (Zerg),Z,28,40.0,44.0,40,1287,950,3125,300,0,82,156,50,0,0,0
0,270,Win,Player 2 - Scarlett (Zerg),Z,30,43.0,44.0,30,1371,850,3225,300,0,140,156,0,0,0,0
0,300,Loss,Player 1 - Namshar (Zerg),Z,31,43.0,44.0,170,1595,700,3775,625,0,113,156,25,50,0,0
0,300,Win,Player 2 - Scarlett (Zerg),Z,36,44.0,44.0,440,1567,450,3775,550,0,196,156,0,0,0,0
0,330,Loss,Player 1 - Namshar (Zerg),Z,34,54.0,58.0,85,1735,525,4525,650,0,48,156,25,75,25,0
0,330,Win,Player 2 - Scarlett (Zerg),Z,41,53.0,58.0,125,1791,550,4475,550,0,156,156,100,0,0,0
0,360,Loss,Player 1 - Namshar (Zerg),Z,41,53.0,58.0,130,1819,750,4850,650,50,8,179,100,100,50,0
0,360,Win,Player 2 - Scarlett (Zerg),Z,45,57.0,58.0,75,1987,925,4875,550,0,148,335,100,0,0,0
0,390,Loss,Player 1 - Namshar (Zerg),Z,46,64.0,66.0,125,2155,975,5350,650,100,80,246,100,100,50,0
0,390,Win,Player 2 - Scarlett (Zerg),Z,50,65.5,82.0,360,2155,550,5675,525,25,296,492,100,0,0,0
0,420,Loss,Player 1 - Namshar (Zerg),Z,53,66.0,74.0,220,2183,575,6325,750,100,136,447,0,200,50,0
0,420,Win,Player 2 - Scarlett (Zerg),Z,54,73.5,90.0,210,2463,700,6425,825,25,147,492,225,100,0,0
0,450,Loss,Player 1 - Namshar (Zerg),Z,55,78.5,106.0,495,2351,525,6825,675,150,180,694,175,200,50,0
0,450,Win,Player 2 - Scarlett (Zerg),Z,54,95.5,106.0,105,2379,1025,6875,1000,225,14,604,425,225,125,0
0,480,Loss,Player 1 - Namshar (Zerg),Z,54,94.5,106.0,300,2323,1075,7225,1125,175,85,783,375,350,200,0
0,480,Win,Player 2 - Scarlett (Zerg),Z,54,104.5,106.0,230,2435,750,7900,1825,225,100,649,150,650,400,0
0,510,Loss,Player 1 - Namshar (Zerg),Z,54,103.5,122.0,530,2239,575,8250,1750,225,232,739,125,725,425,0
0,510,Win,Player 2 - Scarlett (Zerg),Z,52,117.0,130.0,20,2295,1150,8375,2025,400,36,671,300,800,475,0
0,540,Loss,Player 1 - Namshar (Zerg),Z,54,125.0,138.0,170,2351,900,8725,2025,625,112,783,300,825,525,125
0,540,Win,Player 2 - Scarlett (Zerg),Z,52,124.0,138.0,110,2351,750,8950,2200,975,14,627,250,875,550,225
0,570,Loss,Player 1 - Namshar (Zerg),Z,54,132.0,138.0,20,2267,925,9050,2350,1225,34,739,275,1000,700,325
0,570,Win,Player 2 - Scarlett (Zerg),Z,55,110.0,138.0,475,2295,225,9050,2075,1850,100,671,75,925,525,500
0,600,Loss,Player 1 - Namshar (Zerg),Z,52,134.0,146.0,265,2379,525,9425,2725,1775,79,559,175,1175,875,425
0,600,Win,Player 2 - Scarlett (Zerg),Z,57,105.0,138.0,175,2463,750,8350,1425,3175,28,627,200,575,325,1025
0,630,Loss,Player 1 - Namshar (Zerg),Z,52,146.0,146.0,340,2351,775,9800,3100,1925,46,537,225,1350,1050,425
0,630,Win,Player 2 - Scarlett (Zerg),Z,57,127.0,138.0,75,2127,900,9025,1950,3250,16,963,300,750,500,1050
0,660,Loss,Player 1 - Namshar (Zerg),Z,52,153.0,154.0,395,2071,775,10200,3400,2225,180,806,75,1450,1150,625
0,660,Win,Player 2 - Scarlett (Zerg),Z,57,137.0,138.0,115,2323,775,9925,2850,3250,239,985,125,1050,800,1050
0,690,Loss,Player 1 - Namshar (Zerg),Z,62,146.0,154.0,705,2407,225,10600,3225,2500,126,828,0,1350,975,775
0,690,Win,Player 2 - Scarlett (Zerg),Z,57,146.0,170.0,205,2295,550,10575,3100,3400,216,963,150,1200,950,1100
0,720,Loss,Player 1 - Namshar (Zerg),Z,60,140.0,154.0,590,2295,1125,10425,3075,2950,239,828,275,1300,925,925
0,720,Win,Player 2 - Scarlett (Zerg),Z,57,167.0,178.0,265,2267,675,11050,3625,3550,110,963,225,1575,1325,1100
0,750,Loss,Player 1 - Namshar (Zerg),Z,59,165.0,178.0,95,2099,1300,11350,3750,3025,125,985,375,1475,1100,1000
0,750,Win,Player 2 - Scarlett (Zerg),Z,55,177.0,186.0,125,2099,700,11950,4450,3550,137,963,200,1925,1600,1100
0,780,Loss,Player 1 - Namshar (Zerg),Z,59,177.0,178.0,260,2183,975,12025,4475,3100,48,985,325,1725,1425,1075
0,780,Win,Player 2 - Scarlett (Zerg),Z,60,188.0,194.0,195,2127,700,12575,4900,3625,435,985,100,2000,1750,1175
0,810,Loss,Player 1 - Namshar (Zerg),Z,58,178.0,178.0,585,2323,900,12625,4800,3100,196,963,125,2125,1600,1075
0,810,Win,Player 2 - Scarlett (Zerg),Z,66,196.0,202.0,305,2519,500,13275,4900,3625,333,963,200,2100,1750,1175
0,840,Loss,Player 1 - Namshar (Zerg),Z,58,196.0,208.0,715,2183,625,13425,4750,3200,89,1097,475,2250,1650,1075
0,840,Win,Player 2 - Scarlett (Zerg),Z,65,195.0,202.0,625,2603,550,13575,5150,3625,589,1007,0,2250,1900,1175
0,870,Loss,Player 1 - Namshar (Zerg),Z,57,200.0,208.0,1190,2155,300,14050,5525,3200,103,1299,400,2775,2175,1075
0,870,Win,Player 2 - Scarlett (Zerg),Z,62,194.0,218.0,1040,2547,800,13675,5200,3625,533,963,100,2400,2050,1175
0,900,Loss,Player 1 - Namshar (Zerg),Z,58,200.0,208.0,1955,2155,150,14200,5925,3200,567,1299,100,3075,2575,1075
0,900,Win,Player 2 - Scarlett (Zerg),Z,61,197.0,202.0,1420,2435,1050,13500,4800,3625,310,1007,500,2475,1850,1175
0,930,Loss,Player 1 - Namshar (Zerg),Z,55,177.0,200.0,2650,2155,75,13275,5100,4275,952,1231,75,2950,2350,1300
0,930,Win,Player 2 - Scarlett (Zerg),Z,61,197.0,218.0,1490,2407,675,14050,5100,3925,379,963,275,2875,2350,1275
0,960,Loss,Player 1 - Namshar (Zerg),Z,52,178.0,200.0,2110,1651,550,13175,5100,4650,485,1187,400,3000,2350,1375
0,960,Win,Player 2 - Scarlett (Zerg),Z,60,200.0,218.0,2055,2183,550,14600,5500,4000,631,985,100,3075,2550,1350
0,990,Loss,Player 1 - Namshar (Zerg),Z,49,191.0,194.0,1855,1847,1250,12525,4950,5500,535,940,500,3000,2300,1625
0,990,Win,Player 2 - Scarlett (Zerg),Z,59,197.0,218.0,2500,1987,700,14675,5725,4075,754,985,225,3150,2625,1375
0,1020,Loss,Player 1 - Namshar (Zerg),Z,48,161.0,186.0,2440,1903,275,12150,4625,6925,846,895,175,2875,2175,2100
0,1020,Win,Player 2 - Scarlett (Zerg),Z,59,198.0,218.0,800,2183,2950,12425,3325,6550,231,963,950,2325,1725,2350
0,1050,Loss,Player 1 - Namshar (Zerg),Z,47,157.0,180.0,785,1511,350,11950,4625,8400,202,739,0,2825,1975,2675
0,1050,Win,Player 2 - Scarlett (Zerg),Z,59,183.0,224.0,990,2099,750,13900,4375,7825,325,963,400,2300,1675,3175
0,1080,Loss,Player 1 - Namshar (Zerg),Z,46,174.0,180.0,840,1231,350,12575,5300,8400,229,671,0,3050,2200,2675
0,1080,Win,Player 2 - Scarlett (Zerg),Z,58,198.0,224.0,780,2099,475,14950,5150,7825,174,1187,325,2950,2100,3175
0,1110,Loss,Player 1 - Namshar (Zerg),Z,45,166.0,180.0,975,1203,650,11975,4750,9000,397,761,100,2800,1950,2925
0,1110,Win,Player 2 - Scarlett (Zerg),Z,55,186.0,224.0,1360,1847,550,14625,5175,8350,535,1209,0,2925,2175,3600
0,1140,Loss,Player 1 - Namshar (Zerg),Z,34,146.0,180.0,590,1175,450,10575,4300,11425,374,694,150,2300,1600,3650
0,1140,Win,Player 2 - Scarlett (Zerg),Z,45,198.0,224.0,245,1539,1650,13550,4275,10025,330,1097,550,2750,1925,3850
0,1170,Loss,Player 1 - Namshar (Zerg),Z,31,125.0,180.0,825,1119,200,10200,4075,12200,598,627,0,2225,1525,3875
0,1170,Win,Player 2 - Scarlett (Zerg),Z,40,177.0,224.0,365,1063,275,14000,5100,11225,469,671,125,3025,2200,4125
0,1200,Loss,Player 1 - Namshar (Zerg),Z,31,135.0,180.0,300,1063,1100,9900,3775,12500,364,582,450,2125,1425,3975
0,1200,Win,Player 2 - Scarlett (Zerg),Z,41,164.0,224.0,70,811,375,13325,4625,12225,372,627,125,2450,1775,4825
0,1230,Loss,Player 1 - Namshar (Zerg),Z,30,130.0,172.0,300,867,350,10700,4525,12750,588,627,0,2525,1825,4025
0,1230,Win,Player 2 - Scarlett (Zerg),Z,41,169.0,224.0,290,1483,200,13725,5025,12225,433,671,100,2650,1975,4825
0,1260,Loss,Player 1 - Namshar (Zerg),Z,29,133.0,172.0,40,587,900,10650,4125,12750,412,627,400,2525,1625,4025
0,1260,Win,Player 2 - Scarlett (Zerg),Z,49,179.0,224.0,125,1427,100,14325,5025,12225,359,895,200,2750,1975,4825
0,1290,Loss,Player 1 - Namshar (Zerg),Z,31,136.0,172.0,95,587,750,10950,4725,12750,636,582,0,2925,2225,4025
0,1290,Win,Player 2 - Scarlett (Zerg),Z,51,191.0,224.0,260,1903,400,14525,5325,12225,215,1030,500,2950,2275,4825
0,1320,Loss,Player 1 - Namshar (Zerg),Z,35,142.0,178.0,50,811,500,11500,4725,12750,814,436,0,2925,2225,4025
0,1320,Win,Player 2 - Scarlett (Zerg),Z,51,200.0,224.0,495,1931,450,14925,5725,12225,465,974,100,3450,2775,4825
0,1350,Loss,Player 1 - Namshar (Zerg),Z,41,147.0,184.0,140,1147,100,12150,4725,12750,1006,582,0,2925,2225,4025
0,1350,Win,Player 2 - Scarlett (Zerg),Z,50,198.0,224.0,170,1679,1250,15075,5525,12225,449,1142,400,3550,2675,4825
0,1380,Loss,Player 1 - Namshar (Zerg),Z,43,164.0,184.0,50,1651,650,12250,4425,12750,178,828,1100,2925,2075,4025
0,1380,Win,Player 2 - Scarlett (Zerg),Z,50,200.0,224.0,450,1707,950,15525,6125,12225,603,1142,100,3950,3275,4825
0,1410,Loss,Player 1 - Namshar (Zerg),Z,45,172.0,184.0,265,1763,350,12950,5225,12750,164,918,250,4125,3375,4025
0,1410,Win,Player 2 - Scarlett (Zerg),Z,49,199.0,224.0,1045,1791,575,15900,6425,12450,1140,1164,25,4050,3375,4875
0,1440,Loss,Player 1 - Namshar (Zerg),Z,40,156.0,178.0,450,1595,400,11925,4900,14125,292,918,200,4000,3300,4400
0,1440,Win,Player 2 - Scarlett (Zerg),Z,44,184.0,224.0,1515,1651,500,14825,5900,13750,1486,1119,50,3925,3250,5025
0,1470,Loss,Player 1 - Namshar (Zerg),Z,38,141.0,178.0,240,1399,800,10900,3975,15375,162,604,400,3475,2775,5050
0,1470,Win,Player 2 - Scarlett (Zerg),Z,44,195.0,222.0,455,1567,1650,14125,4850,14950,388,963,1450,3475,2800,5525
0,1500,Loss,Player 1 - Namshar (Zerg),Z,37,140.0,178.0,365,1175,350,11650,4775,15375,386,649,0,3875,3175,5050
0,1500,Win,Player 2 - Scarlett (Zerg),Z,54,200.0,214.0,730,1399,1400,14475,4700,15100,776,1142,1450,3425,2750,5575
0,1530,Loss,Player 1 - Namshar (Zerg),Z,37,140.0,178.0,125,1091,850,11350,4475,15675,292,694,200,3775,3075,5150
0,1530,Win,Player 2 - Scarlett (Zerg),Z,54,200.0,214.0,1125,1679,0,15875,6100,15100,930,963,0,4875,4200,5575
0,1560,Loss,Player 1 - Namshar (Zerg),Z,37,134.0,178.0,70,923,750,11225,4350,16300,364,806,200,3800,3100,5325
0,1560,Win,Player 2 - Scarlett (Zerg),Z,54,200.0,214.0,1790,1931,0,15875,6100,15100,1224,783,0,4875,4200,5575
0,1590,Loss,Player 1 - Namshar (Zerg),Z,37,134.0,176.0,305,923,100,11775,4650,16500,606,828,50,3950,3250,5375
0,1590,Win,Player 2 - Scarlett (Zerg),Z,54,200.0,214.0,2275,2239,225,15950,6100,15100,1216,783,225,4950,4200,5575
0,1620,Loss,Player 1 - Namshar (Zerg),Z,37,105.0,176.0,60,727,500,10175,3050,18200,644,806,250,2700,2000,6675
0,1620,Win,Player 2 - Scarlett (Zerg),Z,54,188.0,214.0,3070,2211,0,15650,6100,15625,1512,828,0,4950,4200,5800
0,1650,Loss,Player 1 - Namshar (Zerg),Z,37,81.0,168.0,310,671,100,9475,2350,19300,936,828,50,2000,1300,7575
0,1650,Win,Player 2 - Scarlett (Zerg),Z,54,194.0,206.0,2570,2211,1300,14700,5150,16575,1128,683,650,4450,3700,6300
1,0,Win,Player 1 - Namshar (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
1,0,Loss,Player 2 - Scarlett (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
1,30,Win,Player 1 - Namshar (Zerg),Z,13,14.0,14.0,55,755,150,1100,0,0,0,0,0,0,0,0
1,30,Loss,Player 2 - Scarlett (Zerg),Z,11,11.0,14.0,45,671,250,1000,0,0,0,0,0,0,0,0
1,60,Win,Player 1 - Namshar (Zerg),Z,16,16.0,22.0,240,839,0,1350,0,0,0,0,0,0,0,0
1,60,Loss,Player 2 - Scarlett (Zerg),Z,14,14.0,14.0,40,671,350,1150,0,0,0,0,0,0,0,0
1,90,Win,Player 1 - Namshar (Zerg),Z,16,18.0,22.0,90,867,450,1350,0,0,0,0,0,0,0,0
1,90,Loss,Player 2 - Scarlett (Zerg),Z,14,16.0,22.0,230,839,100,1500,0,0,0,0,0,0,0,0
1,120,Win,Player 1 - Namshar (Zerg),Z,16,18.0,22.0,95,923,775,1350,0,0,0,0,0,0,0,0
1,120,Loss,Player 2 - Scarlett (Zerg),Z,14,18.0,22.0,365,559,50,1650,150,0,0,0,0,0,0,0
1,150,Win,Player 1 - Namshar (Zerg),Z,18,18.0,22.0,215,811,725,1525,0,0,12,22,0,0,0,0
1,150,Loss,Player 2 - Scarlett (Zerg),Z,14,20.0,22.0,335,195,50,1750,250,0,0,0,0,0,0,0
1,180,Win,Player 1 - Namshar (Zerg),Z,17,20.0,22.0,305,727,425,1850,0,0,40,89,0,0,0,0
1,180,Loss,Player 2 - Scarlett (Zerg),Z,13,21.0,22.0,295,167,100,1750,300,50,0,0,0,0,0,0
1,210,Win,Player 1 - Namshar (Zerg),Z,9,13.5,22.0,210,0,250,1700,125,25,40,0,0,0,0,0
1,210,Loss,Player 2 - Scarlett (Zerg),Z,10,16.0,22.0,135,167,250,1500,200,350,0,0,0,0,0,0
1,240,Win,Player 1 - Namshar (Zerg),Z,6,11.0,22.0,130,111,100,1725,150,100,40,0,0,0,0,0
1,240,Loss,Player 2 - Scarlett (Zerg),Z,7,13.5,22.0,100,167,50,1425,275,600,0,0,0,0,0,0
1,270,Win,Player 1 - Namshar (Zerg),Z,6,15.0,22.0,0,363,250,1825,250,100,40,0,0,0,0,0
1,270,Loss,Player 2 - Scarlett (Zerg),Z,9,15.5,22.0,85,251,50,1525,275,600,0,0,0,0,0,0
1,300,Win,Player 1 - Namshar (Zerg),Z,9,15.0,22.0,185,419,50,1975,250,100,40,0,0,0,0,0
1,300,Loss,Player 2 - Scarlett (Zerg),Z,11,17.5,22.0,145,559,50,1625,275,600,0,0,0,0,0,0
1,330,Win,Player 1 - Namshar (Zerg),Z,9,17.0,22.0,270,503,100,2025,300,100,40,0,0,0,0,0
1,330,Loss,Player 2 - Scarlett (Zerg),Z,13,20.5,22.0,85,699,250,1725,275,600,0,0,0,0,0,0
1,360,Win,Player 1 - Namshar (Zerg),Z,10,18.0,22.0,45,531,400,2125,350,100,44,22,0,0,0,0
1,360,Loss,Player 2 - Scarlett (Zerg),Z,14,24.5,30.0,110,811,200,2025,425,600,0,0,0,0,0,0
1,390,Win,Player 1 - Namshar (Zerg),Z,12,21.0,22.0,40,587,500,2225,350,100,76,134,0,0,0,0
1,390,Loss,Player 2 - Scarlett (Zerg),Z,16,26.5,30.0,305,811,200,2125,425,600,0,0,0,0,0,0
1,420,Win,Player 1 - Namshar (Zerg),Z,12,21.0,22.0,45,587,600,2225,350,100,12,89,0,0,0,0
1,420,Loss,Player 2 - Scarlett (Zerg),Z,15,28.5,30.0,60,839,550,2325,675,600,0,0,0,0,0,0
1,450,Win,Player 1 - Namshar (Zerg),Z,14,25.0,36.0,75,615,100,2925,500,100,36,67,0,0,0,0
1,450,Loss,Player 2 - Scarlett (Zerg),Z,17,30.5,38.0,155,951,575,2525,675,600,0,0,0,0,0,0
1,480,Win,Player 1 - Namshar (Zerg),Z,18,29.0,36.0,145,783,100,3125,500,100,80,111,0,0,0,0
1,480,Loss,Player 2 - Scarlett (Zerg),Z,22,35.5,38.0,115,923,600,2850,675,600,40,156,0,0,0,0
1,510,Win,Player 1 - Namshar (Zerg),Z,23,34.0,36.0,145,1035,200,3375,500,100,124,111,0,0,0,0
1,510,Loss,Player 2 - Scarlett (Zerg),Z,23,40.5,46.0,190,923,550,3150,825,600,96,156,0,0,0,0
1,540,Win,Player 1 - Namshar (Zerg),Z,26,41.0,44.0,30,1287,500,3625,500,100,118,134,50,0,0,0
1,540,Loss,Player 2 - Scarlett (Zerg),Z,28,43.5,52.0,335,1203,100,3750,825,600,56,156,0,0,0,0
1,570,Win,Player 1 - Namshar (Zerg),Z,29,40.5,44.0,55,1343,650,3900,625,125,174,156,50,0,0,0
1,570,Loss,Player 2 - Scarlett (Zerg),Z,28,51.5,52.0,190,1455,500,4000,1075,600,62,156,50,0,0,0
1,600,Win,Player 1 - Namshar (Zerg),Z,34,45.5,52.0,170,1567,600,4400,525,125,134,179,100,50,0,0
1,600,Loss,Player 2 - Scarlett (Zerg),Z,32,50.5,60.0,335,1679,600,4300,1075,600,122,156,50,0,0,0
1,630,Win,Player 1 - Namshar (Zerg),Z,35,53.5,60.0,140,1735,900,4650,725,175,90,156,0,150,100,0
1,630,Loss,Player 2 - Scarlett (Zerg),Z,30,61.5,68.0,355,1679,900,4450,975,375,82,179,100,50,0,0
1,660,Win,Player 1 - Namshar (Zerg),Z,44,56.5,68.0,210,1819,750,5200,725,175,50,156,100,150,100,0
1,660,Loss,Player 2 - Scarlett (Zerg),Z,40,64.5,68.0,260,1623,500,5500,1425,400,88,156,50,150,100,0
1,690,Win,Player 1 - Namshar (Zerg),Z,40,65.5,82.0,285,2239,1050,5650,925,225,56,156,100,200,150,0
1,690,Loss,Player 2 - Scarlett (Zerg),Z,41,67.5,84.0,170,1707,900,5800,1525,450,148,492,100,200,150,0
1,720,Win,Player 1 - Namshar (Zerg),Z,49,71.0,82.0,135,1903,500,6450,975,450,116,156,0,275,125,25
1,720,Loss,Player 2 - Scarlett (Zerg),Z,42,70.5,92.0,95,1791,1150,5900,1175,500,140,604,200,100,50,0
1,750,Win,Player 1 - Namshar (Zerg),Z,57,75.0,82.0,345,2155,575,7050,1275,450,238,470,0,325,175,25
1,750,Loss,Player 2 - Scarlett (Zerg),Z,49,74.5,98.0,210,1847,775,6700,1250,600,147,671,225,200,150,0
1,780,Win,Player 1 - Namshar (Zerg),Z,51,72.5,82.0,110,1959,800,6575,575,1550,318,492,100,200,50,100
1,780,Loss,Player 2 - Scarlett (Zerg),Z,57,65.5,106.0,520,2211,250,6825,650,1375,179,649,200,225,75,125
1,810,Win,Player 1 - Namshar (Zerg),Z,50,77.0,82.0,50,1931,800,7100,1200,1700,190,492,150,300,150,100
1,810,Loss,Player 2 - Scarlett (Zerg),Z,55,83.0,106.0,355,2407,1275,6625,550,1475,36,649,475,200,50,150
1,840,Win,Player 1 - Namshar (Zerg),Z,58,76.0,90.0,510,2435,200,7650,1150,2000,216,470,0,450,200,100
1,840,Loss,Player 2 - Scarlett (Zerg),Z,59,92.0,106.0,685,2379,700,7600,1275,1575,268,649,200,425,275,200
1,870,Win,Player 1 - Namshar (Zerg),Z,62,90.0,82.0,120,2435,825,7750,1150,2100,269,963,175,450,200,100
1,870,Loss,Player 2 - Scarlett (Zerg),Z,68,103.0,106.0,390,2463,1275,8050,1275,1575,313,985,325,425,275,200
1,900,Win,Player 1 - Namshar (Zerg),Z,61,89.0,114.0,390,2323,475,8550,1575,2200,271,985,25,650,375,100
1,900,Loss,Player 2 - Scarlett (Zerg),Z,68,108.0,154.0,260,2687,975,9275,1650,1575,436,963,75,750,400,200
1,930,Win,Player 1 - Namshar (Zerg),Z,62,105.5,114.0,105,2435,1550,8600,1550,2225,294,985,325,675,375,100
1,930,Loss,Player 2 - Scarlett (Zerg),Z,67,122.0,186.0,210,2575,1400,9850,1875,1575,638,963,150,825,475,200
1,960,Win,Player 1 - Namshar (Zerg),Z,61,112.0,138.0,220,2351,950,9675,2250,2350,146,1007,200,1150,850,100
1,960,Loss,Player 2 - Scarlett (Zerg),Z,67,129.0,186.0,615,2463,1175,10550,2675,1575,961,985,25,975,625,200
1,990,Win,Player 1 - Namshar (Zerg),Z,61,129.0,160.0,355,2239,650,10650,2675,2350,169,985,250,1425,1125,100
